📦 세트구성_매핑.xlsx 내용:

             세트바코드                                      구성품명         구성품바코드  수량         등록일         수정일
183  LE100S3005001                        미니멀러그_딥블랙_원형_1900Ø  LE10000005009   1  2026-04-13  2026-04-13
184  LE100S3005001                        미니멀러그_딥블랙_원형_1500Ø  LE10000005008   1  2026-04-13  2026-04-13
185  LE100S3005001                      미니멀러그_딥블랙_반원_480x800  LE10000005018   1  2026-04-13  2026-04-13
186  LE100S3005002                        미니멀러그_딥블랙_원형_1900Ø  LE10000005009   1  2026-04-13  2026-04-13
187  LE100S3005002                      미니멀러그_딥블랙_반원_480x800  LE10000005018   1  2026-04-13  2026-04-13
188  LE100S3005003                        미니멀러그_딥블랙_원형_1500Ø  LE10000005008   1  2026-04-13  2026-04-13
189  LE100S3005003                      미니멀러그_딥블랙_반원_480x800  LE10000005018   1  2026-04-13  2026-04-13
190  LE100S4001001                    미니멀러그_오프화이트_반원_480x800  LE10000001018   2  2026-04-13  2026-04-13
191  LE100S4001001                   미니멀러그_오프화이트_반원_600x1000  LE10000001019   2  2026-04-13  2026-04-13
192  LE100S4001001                   미니멀러그_오프화이트_반원_780x1300  LE10000001020   2  2026-04-13  2026-04-13
193  LE100S4001002                    미니멀러그_오프화이트_반원_480x800  LE10000001018   2  2026-04-13  2026-04-13
194  LE100S4001002                  미니멀러그_오프화이트_라운드_500x1500  LE10000001017   2  2026-04-13  2026-04-13
195  LE100S4001003                    미니멀러그_오프화이트_반원_480x800  LE10000001018   2  2026-04-13  2026-04-13
196  LE100S4002001                      미니멀러그_브라운_반원_480x800  LE10000002018   2  2026-04-13  2026-04-13
197  LE100S4002001                     미니멀러그_브라운_반원_600x1000  LE10000002019   2  2026-04-13  2026-04-13
198  LE100S4002001                     미니멀러그_브라운_반원_780x1380  LE10000002020   2  2026-04-13  2026-04-13
199  LE100S4002002                      미니멀러그_브라운_반원_480x800  LE10000002018   2  2026-04-13  2026-04-13
200  LE100S4002002                    미니멀러그_브라운_라운드_500x1500  LE10000002017   2  2026-04-13  2026-04-13
201  LE100S4002003                      미니멀러그_브라운_반원_480x800  LE10000002018   2  2026-04-13  2026-04-13
202  LE100S4003001                      미니멀러그_그레이_반원_480x800  LE10000003018   2  2026-04-13  2026-04-13
203  LE100S4003001                     미니멀러그_그레이_반원_600x1000  LE10000003019   2  2026-04-13  2026-04-13
204  LE100S4003001                     미니멀러그_그레이_반원_780x1380  LE10000003020   2  2026-04-13  2026-04-13
205  LE100S4003002                      미니멀러그_그레이_반원_480x800  LE10000003018   2  2026-04-13  2026-04-13
206  LE100S4003002                    미니멀러그_그레이_라운드_500x1500  LE10000003017   2  2026-04-13  2026-04-13
207  LE100S4003003                      미니멀러그_그레이_반원_480x800  LE10000003018   2  2026-04-13  2026-04-13
208  LE100S4004001                      미니멀러그_블루문_반원_480x800  LE10000004018   2  2026-04-13  2026-04-13
209  LE100S4004001                     미니멀러그_블루문_반원_600x1000  LE10000004019   2  2026-04-13  2026-04-13
210  LE100S4004001                     미니멀러그_블루문_반원_780x1380  LE10000004020   2  2026-04-13  2026-04-13
211  LE100S4004002                      미니멀러그_블루문_반원_480x800  LE10000004018   2  2026-04-13  2026-04-13
212  LE100S4004002                    미니멀러그_블루문_라운드_500x1500  LE10000004017   2  2026-04-13  2026-04-13
213  LE100S4004003                      미니멀러그_블루문_반원_480x800  LE10000004018   2  2026-04-13  2026-04-13
214  LE100S4005001                      미니멀러그_딥블랙_반원_480x800  LE10000005018   2  2026-04-13  2026-04-13
215  LE100S4005001                     미니멀러그_딥블랙_반원_600x1000  LE10000005019   2  2026-04-13  2026-04-13
216  LE100S4005001                     미니멀러그_딥블랙_반원_780x1380  LE10000005020   2  2026-04-13  2026-04-13
217  LE100S4005002                      미니멀러그_딥블랙_반원_480x800  LE10000005018   2  2026-04-13  2026-04-13
218  LE100S4005002                    미니멀러그_딥블랙_라운드_500x1500  LE10000005017   2  2026-04-13  2026-04-13
219  LE100S4005003                      미니멀러그_딥블랙_반원_480x800  LE10000005018   2  2026-04-13  2026-04-13
